row_id,ps1_mean,ps1_std,ps1_min,ps1_max,ps1_median,ps1_q25,ps1_q75,ps1_rms,ps1_energy,ps1_skew,ps1_kurt,ps2_mean,ps2_std,ps2_min,ps2_max,ps2_median,ps2_q25,ps2_q75,ps2_rms,ps2_energy,ps2_skew,ps2_kurt,ps3_mean,ps3_std,ps3_min,ps3_max,ps3_median,ps3_q25,ps3_q75,ps3_rms,ps3_energy,ps3_skew,ps3_kurt,ps4_mean,ps4_std,ps4_min,ps4_max,ps4_median,ps4_q25,ps4_q75,ps4_rms,ps4_energy,ps4_skew,ps4_kurt,ps5_mean,ps5_std,ps5_min,ps5_max,ps5_median,ps5_q25,ps5_q75,ps5_rms,ps5_energy,ps5_skew,ps5_kurt,ps6_mean,ps6_std,ps6_min,ps6_max,ps6_median,ps6_q25,ps6_q75,ps6_rms,ps6_energy,ps6_skew,ps6_kurt,ts1_mean,ts1_std,ts1_min,ts1_max,ts1_median,ts1_q25,ts1_q75,ts1_rms,ts1_energy,ts1_skew,ts1_kurt,ts2_mean,ts2_std,ts2_min,ts2_max,ts2_median,ts2_q25,ts2_q75,ts2_rms,ts2_energy,ts2_skew,ts2_kurt,ts3_mean,ts3_std,ts3_min,ts3_max,ts3_median,ts3_q25,ts3_q75,ts3_rms,ts3_energy,ts3_skew,ts3_kurt,ts4_mean,ts4_std,ts4_min,ts4_max,ts4_median,ts4_q25,ts4_q75,ts4_rms,ts4_energy,ts4_skew,ts4_kurt,fs1_mean,fs1_std,fs1_min,fs1_max,fs1_median,fs1_q25,fs1_q75,fs1_rms,fs1_energy,fs1_skew,fs1_kurt,fs2_mean,fs2_std,fs2_min,fs2_max,fs2_median,fs2_q25,fs2_q75,fs2_rms,fs2_energy,fs2_skew,fs2_kurt,vs1_mean,vs1_std,vs1_min,vs1_max,vs1_median,vs1_q25,vs1_q75,vs1_rms,vs1_energy,vs1_skew,vs1_kurt,ce_mean,ce_std,ce_min,ce_max,ce_median,ce_q25,ce_q75,ce_rms,ce_energy,ce_skew,ce_kurt,cp_mean,cp_std,cp_min,cp_max,cp_median,cp_q25,cp_q75,cp_rms,cp_energy,cp_skew,cp_kurt,eps1_mean,eps1_std,eps1_min,eps1_max,eps1_median,eps1_q25,eps1_q75,eps1_rms,eps1_energy,eps1_skew,eps1_kurt,se_mean,se_std,se_min,se_max,se_median,se_q25,se_q75,se_rms,se_energy,se_skew,se_kurt,is_fault
0,160.67375,13.939286,145.83,191.51,156.25,151.19,166.31,161.27747,156062530.0,1.273366,0.49697998,109.46682,47.114365,0.0,156.99,129.36499,120.19,130.54,119.1741,85214800.0,-1.838312,1.5111129,1.9914672,0.945703,0.0,10.039,2.297,2.219,2.359,2.2045836,29161.133,-0.37367207,6.528604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,9.842184,0.08815373,9.681,10.016,9.844,9.762,9.922,9.842563,581256.25,-0.0011779564,-1.2682846,9.7280855,0.08536612,9.568,9.887,9.733,9.65,9.806,9.728465,567858.2,-0.06665926,-1.2851217,35.621986,0.30822986,35.156,36.152,35.572,35.401,35.89975,35.623295,76141.14,0.037994094,-1.3451501,40.97876,0.15430188,40.773,41.25,40.962997,40.812,41.126,40.97905,100756.95,0.13844341,-1.4455438,38.47101,0.08465883,38.316,38.613,38.496,38.416,38.520752,38.471107,88801.58,-0.7269742,-0.66444427,31.745258,1.1164786,30.363,33.594,31.576,30.664999,32.7785,31.764551,60539.203,0.25410432,-1.4073249,6.709809,3.0154266,0.0,18.71,7.836,7.68775,7.934,7.355221,32459.564,-1.4033077,1.6857343,10.30459,0.091771476,10.148,10.446,10.327,10.210501,10.389,10.305004,63715.867,-0.31748593,-1.3928479,0.57695,0.027078308,0.532,0.624,0.577,0.553,0.603,0.5775745,20.01554,-0.046139907,-1.281031,39.601345,6.370535,28.866,47.438,40.6755,33.61075,45.93825,40.10205,96490.47,-0.2739112,-1.4384296,1.8627503,0.27938512,1.383,2.188,1.924,1.6025,2.1295,1.8832399,212.79553,-0.354436,-1.4240726,2538.9778,185.61433,2339.8,2951.6,2479.8,2409.8,2618.8,2545.7283,38884393000.0,1.2394961,0.42691073,59.157173,23.763983,0.0,79.568,68.514496,67.657,68.889,63.677994,243293.22,-2.0832481,2.6540718,1
1,160.60266,14.118873,145.73,191.47,156.06,150.92,166.05,161.22232,155955820.0,1.2790102,0.46155807,109.35485,47.045498,0.0,157.56,129.38501,120.13,130.38,119.04411,85029010.0,-1.8388104,1.5133469,1.9762288,0.9419544,0.0,9.992,2.273,2.195,2.352,2.1892152,28755.98,-0.3128919,6.9565396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,9.635093,0.038391903,9.557,9.745,9.632,9.607,9.663,9.635213,557024.0,0.28984484,-0.5634811,9.529501,0.036316063,9.454,9.637,9.526,9.503,9.556,9.529553,544874.4,0.23633912,-0.51454455,36.676975,0.58574027,35.648,37.488,36.7675,36.09,37.1875,36.681564,80732.234,-0.29881585,-1.3619329,41.532764,0.33823442,41.031,42.105,41.517998,41.223,41.868,41.53412,103504.98,0.11822152,-1.453861,38.978962,0.17692026,38.668,39.254,38.9845,38.841003,39.1035,38.979362,91163.44,-0.06968426,-0.9368516,34.49386,0.43531245,33.648,35.148,34.553,34.147247,34.88975,34.49657,71400.805,-0.3131752,-1.0533671,6.715314,3.006249,0.0,18.712,7.853,7.724,7.95225,7.356487,32470.74,-1.4501002,1.6617192,10.403094,0.019161873,10.352,10.453,10.403,10.389,10.416,10.40312,64934.945,-0.00050982565,-0.36683124,0.56584996,0.027240815,0.524,0.626,0.5595,0.547,0.57850003,0.56649446,19.254957,0.79069567,-0.15292798,25.786434,1.6861295,23.32,29.208,25.3855,24.40025,27.2415,25.84059,40064.16,0.41137114,-1.087683,1.2555503,0.07460505,1.147,1.414,1.234,1.19575,1.31725,1.2577276,94.91272,0.41264063,-1.1443063,2531.5718,189.93944,2332.0,2947.4,2470.0,2397.8,2607.8,2538.6292,38667830000.0,1.2670225,0.42492083,59.335617,23.85792,0.0,80.441,68.536,67.825,69.321,63.878235,244825.73,-2.074927,2.6353993,0
2,160.34749,14.192639,145.37,191.41,155.72,150.59,165.87,160.97504,155477800.0,1.2831714,0.46552196,109.15876,46.992153,0.0,156.97,129.325,120.04,130.13,118.84254,84741290.0,-1.8380047,1.5107385,1.972215,0.94349205,0.0,10.914,2.273,2.187,2.352,2.1862571,28678.318,-0.19607185,8.221049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,9.530541,0.035816677,9.455,9.64,9.528,9.506,9.557,9.530609,544995.06,0.18693577,-0.49270898,9.427933,0.0360311,9.348,9.536,9.425,9.403,9.455,9.42807,533331.06,0.18554623,-0.5065149,37.880802,0.55916923,36.879,38.621,38.0235,37.37825,38.379,37.884853,86115.734,-0.46416774,-1.2393928,42.442444,0.3905881,41.832,43.039,42.4235,42.111,42.85575,42.444218,108090.7,-0.04326372,-1.4565116,39.631954,0.25113323,39.234,40.062,39.627,39.408,39.792,39.632736,94245.23,0.030372238,-0.88019705,35.64616,0.2938893,35.098,36.141,35.635002,35.40025,35.88,35.647343,76243.98,-0.097014666,-1.045292,6.7185216,3.014251,0.0,18.698,7.847,7.69875,7.95425,7.362681,32525.443,-1.4354538,1.6482601,10.366256,0.026361182,10.296,10.443,10.367,10.34775,10.386,10.366284,64475.914,0.074054204,-0.41987842,0.5765333,0.036729183,0.529,0.662,0.56200004,0.54925,0.59525,0.5776827,20.023035,0.95822746,0.06097383,22.218231,0.6383451,21.22,23.554,22.104,21.640501,22.749,22.22725,29643.035,0.31209648,-1.0944515,1.1132165,0.023263475,1.076,1.159,1.1094999,1.099,1.13175,1.1134555,74.38699,0.25199962,-0.84862036,2519.9827,190.73703,2318.6,2939.8,2457.4,2385.8,2597.6,2527.1357,38318494000.0,1.2709227,0.42704993,59.543156,23.92338,0.0,80.824,68.853,68.005,69.561,64.095055,246490.56,-2.0801582,2.65267,0
3,160.18814,14.227804,145.14,191.34,155.56,150.41,165.72,160.81894,155176400.0,1.2866749,0.47203276,109.06481,46.972145,0.0,156.44,128.865,119.96,130.02,118.74826,84606900.0,-1.8375795,1.5098706,1.9465677,0.9355362,0.0,10.297,2.242,2.141,2.305,2.1596894,27985.55,-0.1662421,7.8909225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,9.43886,0.037068613,9.363,9.535,9.436,9.412,9.46725,9.438951,534562.75,0.16249621,-0.6579792,9.337433,0.037374813,9.257,9.431,9.335,9.311,9.366,9.337482,523131.44,0.1602336,-0.66836315,38.879044,0.51617557,37.887,39.473,39.055,38.444252,39.36,38.88242,90710.55,-0.55759186,-1.1077955,43.403984,0.3984757,42.805,43.988,43.364998,43.036003,43.831,43.405785,113043.734,0.013095342,-1.5332528,40.403393,0.2854339,40.023,40.934,40.342003,40.148502,40.600502,40.404373,97950.8,0.4532351,-0.8851024,36.579468,0.26239672,36.105,36.988,36.635002,36.379,36.802,36.5804,80287.53,-0.1951623,-1.1670165,6.7205634,3.0201774,0.0,18.896,7.843,7.711,7.95425,7.366969,32563.342,-1.4101976,1.6796652,10.302678,0.026749661,10.241,10.382,10.302,10.283,10.32025,10.302712,63687.527,0.27008948,-0.32445663,0.5692666,0.03346381,0.527,0.645,0.555,0.54775,0.592,0.57023305,19.509945,1.0338016,-0.073150195,20.459816,0.4557551,19.673,21.565,20.4805,20.138248,20.71025,20.464804,25128.494,0.18858343,-0.16674025,1.06215,0.024621073,1.022,1.107,1.066,1.0455,1.077,1.0624306,67.725525,-0.027962353,-1.0213377,2511.6143,191.27216,2310.8,2929.6,2448.0,2377.8,2587.8,2518.801,38066150000.0,1.277669,0.4432239,59.7949,24.023003,0.0,80.93,69.006,68.317,69.6,64.36549,248575.02,-2.0813692,2.653043,0
4,159.99953,14.27645,144.95,191.41,155.34,150.19,165.49,160.63599,154823540.0,1.2926381,0.4832465,108.93158,46.874733,0.0,158.13,129.0,119.837494,129.82,118.58736,84377770.0,-1.8379556,1.5119832,1.9226947,0.93032414,0.0,11.102,2.219,2.117,2.281,2.1359327,27373.25,0.017996477,9.740375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,9.358758,0.029778993,9.29,9.443,9.358,9.337,9.38,9.358856,525529.06,0.24430737,-0.47429505,9.260631,0.028592417,9.195,9.342,9.26,9.238,9.281,9.260635,514556.2,0.20525457,-0.4583836,39.80393,0.5353737,38.789,40.391,39.967,39.3515,40.309,39.807453,95077.99,-0.5261141,-1.1930484,44.332756,0.3727689,43.742,44.887,44.335503,44.009,44.66575,44.334293,117931.77,-0.022146922,-1.4523866,41.310555,0.29357928,40.859,41.777,41.34,41.003002,41.511,41.31158,102398.8,-0.0853845,-1.1528766,37.427906,0.23957035,36.992,37.781,37.439003,37.24125,37.609,37.428654,84054.24,-0.18608034,-1.1595392,6.690309,3.011552,0.0,18.876,7.831,7.69025,7.9432497,7.3358393,32288.725,-1.4262303,1.643087,10.237757,0.029170468,10.179,10.312,10.236,10.214,10.258,10.23779,62887.402,0.27644196,-0.7464572,0.57736665,0.033483602,0.524,0.66,0.576,0.5485,0.59275,0.5783206,20.067284,0.81646925,0.1375001,19.787018,0.29015642,19.133,20.46,19.7985,19.6325,19.966751,19.789106,23496.523,-0.02624095,0.026590286,1.0704668,0.021477196,1.016,1.106,1.0725,1.05575,1.08625,1.0706785,68.78114,-0.49451798,-0.28178996,2503.5286,191.25877,2301.8,2923.8,2440.6,2370.8,2579.6,2510.747,37823107000.0,1.2812634,0.45548445,59.45527,23.972263,0.0,81.1,69.013,68.166,69.643,64.031395,246001.2,-2.051926,2.5767965,0
5,159.91922,14.276041,144.71,191.28,155.23,150.06,165.38,160.55618,154669730.0,1.2977061,0.49340254,108.8878,46.84418,0.0,156.55,128.93,119.91,129.78,118.53523,84303610.0,-1.8385957,1.5139424,1.9132738,0.9326067,0.0,11.453,2.211,2.078,2.281,2.128445,27181.666,0.121806785,10.323991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,9.301187,0.031070957,9.233,9.381,9.3,9.28,9.323,9.301238,519078.2,0.092702635,-0.63734084,9.206873,0.030226314,9.141,9.287,9.206,9.185,9.229,9.2068815,508600.03,0.10135334,-0.63155633,40.659447,0.51047885,39.633,41.227,40.7695,40.2835,41.145,40.6626,99206.82,-0.57902753,-1.05696,45.170612,0.36996984,44.605,45.687,45.133,44.875,45.542,45.172108,122431.16,-0.07471751,-1.4604775,42.124123,0.26633078,41.746,42.609,42.168,41.9025,42.34375,42.12494,106470.63,0.06155313,-1.0275923,38.21207,0.21299486,37.824,38.586,38.262,38.02,38.405,38.212658,87612.43,-0.15775478,-1.0593556,6.6990256,3.004857,0.0,18.96,7.8395004,7.69375,7.93925,7.34105,32334.611,-1.4394139,1.676629,10.1787195,0.022447165,10.126,10.256,10.177,10.163,10.192,10.178746,62164.125,0.43051755,0.04885435,0.5726834,0.030731473,0.525,0.643,0.56649995,0.545,0.59749997,0.5734936,19.733692,0.5446141,-0.8677162,19.149683,0.27728575,18.588,19.651,19.162,19.035,19.338001,19.151659,22007.164,-0.3946411,-0.27936143,1.0720831,0.021131797,1.024,1.109,1.074,1.05575,1.0834999,1.072288,68.988106,-0.32149738,-0.2509386,2501.0686,191.51804,2297.0,2920.6,2437.8,2365.8,2577.8,2508.3264,37750210000.0,1.2806672,0.44965494,59.563328,23.982164,0.0,80.946,68.934,67.928,69.948,64.13539,246800.92,-2.0635269,2.6062827,0
6,159.67326,14.371105,144.49,191.19,154.97,149.77,165.19,160.31834,154211840.0,1.2934796,0.48571664,108.676575,46.78942,0.0,155.04,128.675,119.52,129.53,118.31937,83996830.0,-1.8364955,1.5085677,1.8880899,0.91579765,0.0,10.312,2.172,2.047,2.25,2.0984476,26420.893,-0.06630574,8.201142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,9.233939,0.025515135,9.17,9.302,9.233,9.21475,9.252,9.233975,511597.84,0.1200133,-0.57322866,9.143306,0.025541537,9.075,9.208,9.144,9.123,9.161,9.143381,501608.5,0.07526429,-0.58560675,41.463627,0.5104825,40.539,42.062,41.566,41.0325,41.961,41.466732,103169.39,-0.48870543,-1.1902109,45.94724,0.34216112,45.363,46.457,45.947,45.679,46.270752,45.94849,126675.82,-0.10824737,-1.3654665,42.888107,0.2019496,42.598,43.203,42.900497,42.6755,43.042,42.888584,110365.84,-0.10405564,-1.2950792,38.93209,0.194307,38.562,39.242,38.928,38.756,39.09,38.932583,90944.766,-0.25999975,-1.0430939,6.6985736,3.0125163,0.0,19.208,7.817,7.6715,7.92925,7.343773,32358.6,-1.4040941,1.725327,10.140808,0.017606655,10.091,10.2,10.141,10.129,10.152,10.1408205,61701.746,0.19997732,0.06933151,0.5730333,0.03288809,0.518,0.649,0.566,0.55375004,0.58725,0.5739606,19.765848,0.6814644,-0.052529927,18.666382,0.23829545,18.348,19.415,18.6075,18.46975,18.8155,18.667877,20909.379,0.9782553,0.93088526,1.0816834,0.012652451,1.053,1.11,1.08,1.074,1.08925,1.0817561,70.21178,0.052695625,0.080067106,2494.4685,193.34032,2290.0,2921.6,2431.6,2357.0,2572.2,2501.9233,37557720000.0,1.2767967,0.44168273,59.78991,24.040096,0.0,80.848,69.113,68.515,69.866,64.36713,248587.61,-2.0755098,2.6352673,0
7,159.6151,14.387469,144.41,191.17,154.91,149.91,165.16,160.26163,154102720.0,1.2871368,0.48222703,108.65181,46.806255,0.0,159.09,128.72,119.11,129.51,118.30367,83974550.0,-1.8358867,1.5074389,1.8748856,0.917557,0.0,10.398,2.164,2.0,2.266,2.0873432,26142.01,0.026660757,8.633491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,9.194114,0.026466819,9.125,9.26,9.194,9.176,9.214,9.1941595,507195.47,-0.029688451,-0.71948534,9.105041,0.027312767,9.04,9.172,9.105,9.087,9.125,9.105054,497412.0,-0.05555891,-0.6976528,42.215263,0.482575,41.227,42.734,42.3535,41.834,42.654,42.21798,106941.46,-0.62387335,-1.0006238,46.665226,0.32350838,46.187,47.117,46.6795,46.376,46.97975,46.666336,130664.82,-0.06557784,-1.5168312,43.519882,0.15928778,43.273,43.875,43.488,43.431503,43.618,43.520172,113640.31,0.3812763,-0.6278711,39.558968,0.1714003,39.227,39.828,39.551003,39.422,39.6975,39.559334,93896.445,-0.13918942,-1.1899397,6.6780243,3.0047154,0.0,19.333,7.802,7.6755,7.914,7.321836,32165.57,-1.4002619,1.7588631,10.095985,0.018820778,10.049,10.156,10.096,10.083,10.109,10.095995,61157.47,0.0418467,-0.3035967,0.5720001,0.037949126,0.525,0.669,0.562,0.54475003,0.58625,0.5732365,19.716007,1.2407764,0.72847295,18.178436,0.3356025,17.418,18.788,18.168499,17.978,18.42375,18.181479,19833.97,-0.3684364,-0.50423914,1.0787,0.018538373,1.033,1.105,1.079,1.071,1.0962499,1.0788568,69.835915,-0.7277183,0.0603163,2489.4924,192.12138,2285.0,2913.0,2425.8,2357.6,2568.0,2496.8337,37405073000.0,1.2620653,0.4238607,59.59062,23.96233,0.0,81.01,69.0555,67.575,69.596,64.15346,246939.97,-2.0729766,2.6351726,0
8,159.47612,14.430273,144.12,191.14,154.77,149.73,164.97,160.12709,153844110.0,1.2893438,0.48810497,108.52974,46.76954,0.0,167.22,128.77,118.98,129.41,118.17698,83794790.0,-1.835063,1.5052599,1.858112,0.9143669,0.0,10.789,2.141,1.969,2.242,2.0708716,25731.057,0.13399556,9.497859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,9.144629,0.023758112,9.085,9.206,9.144,9.127,9.163,9.144681,501751.1,0.012642196,-0.76070696,9.057066,0.024531992,9.0,9.119,9.057,9.038,9.076,9.057071,492183.2,0.048301462,-0.80114377,42.89198,0.45551363,41.977,43.41,43.0215,42.498,43.30675,42.89436,110395.56,-0.631229,-1.0245051,47.339436,0.31305188,46.855,47.789,47.2775,47.07325,47.67775,47.340446,134467.08,0.004561281,-1.540871,44.201237,0.1775106,43.875,44.457,44.211,44.1065,44.302998,44.2016,117226.875,-0.47922873,-0.758957,40.08053,0.17870156,39.789,40.402,40.078003,39.9685,40.242,40.08092,96388.82,-0.1438163,-1.1574073,6.671654,3.0138335,0.0,19.577,7.792,7.66575,7.9032497,7.319765,32147.379,-1.3655165,1.7729825,10.039711,0.019307157,9.991,10.098,10.038,10.026,10.052,10.039727,60477.676,0.36777896,-0.014517714,0.5670667,0.032561738,0.516,0.65,0.559,0.54475003,0.57875,0.5679852,19.356432,0.9075674,0.28321868,18.334864,0.3587938,17.587,19.081,18.351,18.0635,18.50175,18.33832,20177.639,0.3462162,-0.42587855,1.1150833,0.02285495,1.073,1.168,1.1105,1.098,1.1264999,1.1153136,74.63547,0.8225482,-0.020023324,2484.4778,193.5298,2279.8,2909.4,2421.6,2351.6,2561.8,2491.9556,37259055000.0,1.270099,0.441648,59.608894,23.995264,0.0,81.186,69.0175,68.412,69.682,64.18251,247163.69,-2.0644848,2.6120467,0
9,159.43842,14.41554,144.16,191.16,154.77,149.74,164.89,160.08798,153768980.0,1.2905126,0.49542123,108.51107,46.752087,0.0,162.14,128.48999,118.93,129.43,118.15261,83760230.0,-1.8357786,1.5064424,1.8410541,0.91156673,0.0,10.758,2.117,1.922,2.227,2.0543356,25321.768,0.18700738,9.622688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,9.104827,0.023960907,9.052,9.173,9.106,9.085,9.123,9.104828,497387.34,0.067267954,-0.79022944,9.019259,0.02390068,8.965,9.087,9.019,9.0,9.036,9.019292,488085.72,0.13473186,-0.73288727,43.53282,0.4566668,42.641,44.012,43.623,43.158,43.981,43.53519,113718.766,-0.5844676,-1.0331199,47.98143,0.31789652,47.449,48.422,47.967003,47.714,48.299,47.982452,138138.94,-0.13616763,-1.3931867,44.797123,0.17485267,44.527,45.129,44.816498,44.682503,44.947,44.79747,120408.8,-0.19164562,-0.93938386,40.612545,0.16644786,40.375,40.918,40.65,40.495,40.748,40.61289,98964.4,0.044501126,-1.1894563,6.659988,3.0106459,0.0,19.432,7.8,7.6355,7.911,7.307827,32042.602,-1.3829854,1.7310909,9.997763,0.015677067,9.962,10.053,9.996,9.987,10.007,9.997773,59973.285,0.32611367,-0.09145582,0.57168317,0.031814348,0.516,0.653,0.56649995,0.55075,0.588,0.5725531,19.669025,0.5867538,0.04948518,18.205736,0.2438983,17.72,18.746,18.1735,18.061749,18.324749,18.20734,19890.434,0.3965354,-0.20460768,1.1291333,0.015200875,1.108,1.163,1.128,1.116,1.13725,1.129234,76.510155,0.6173418,-0.50600374,2480.503,192.7946,2274.0,2905.4,2417.4,2350.6,2555.8,2487.932,37138830000.0,1.2775645,0.4651447,59.47374,23.969267,0.0,80.907,69.0075,68.164,69.773,64.04744,246124.47,-2.0554955,2.5855525,0
